cannot import cuda implementation for inference, fallback to pytorch.
警告: 以下QP值超出安全范围 [0, 71]，将被跳过: [75, 80]
将测试以下QP值: [20, 25, 30, 35, 40, 45, 50, 55, 60, 65, 70]

================================================================================
开始多QP测试
================================================================================


================================================================================
测试 QP = 20
================================================================================

QP=25 | Frame 47: Weighted PSNR: 34.545 dB | Y: 32.693 | U: 40.450 | V: 39.748 | Bpp: 0.0156
QP=25 | Frame 48: Weighted PSNR: 33.990 dB | Y: 32.006 | U: 40.337 | V: 39.549 | Bpp: 0.0066
QP=25 | Frame 49: Weighted PSNR: 34.552 dB | Y: 32.678 | U: 40.352 | V: 39.993 | Bpp: 0.0211
QP=25 | Frame 50: Weighted PSNR: 34.082 dB | Y: 32.093 | U: 40.155 | V: 39.943 | Bpp: 0.0073
QP=25 | Frame 51: Weighted PSNR: 34.322 dB | Y: 32.409 | U: 40.193 | V: 39.929 | Bpp: 0.0167
QP=25 | Frame 52: Weighted PSNR: 33.890 dB | Y: 31.866 | U: 40.147 | V: 39.781 | Bpp: 0.0067
QP=25 | Frame 53: Weighted PSNR: 34.316 dB | Y: 32.409 | U: 40.131 | V: 39.944 | Bpp: 0.0224
QP=25 | Frame 54: Weighted PSNR: 33.897 dB | Y: 31.946 | U: 39.787 | V: 39.714 | Bpp: 0.0083
QP=25 | Frame 55: Weighted PSNR: 34.312 dB | Y: 32.537 | U: 39.602 | V: 39.678 | Bpp: 0.0159
QP=25 | Frame 56: Weighted PSNR: 34.103 dB | Y: 32.295 | U: 39.528 | V: 39.524 | Bpp: 0.0080
QP=25 | Frame 57: Weighted PSNR: 34.758 dB | Y: 33.102 | U: 39.606 | V: 39.843 | Bpp: 0.0192
QP=25 | Frame 58: Weighted PSNR: 34.451 dB | Y: 32.753 | U: 39.524 | V: 39.572 | Bpp: 0.0081
QP=25 | Frame 59: Weighted PSNR: 34.396 dB | Y: 32.790 | U: 39.281 | V: 39.151 | Bpp: 0.0103
QP=25 | Frame 60: Weighted PSNR: 34.150 dB | Y: 32.575 | U: 39.127 | V: 38.618 | Bpp: 0.0081
QP=25 | Frame 61: Weighted PSNR: 34.194 dB | Y: 32.675 | U: 38.727 | V: 38.779 | Bpp: 0.0105
QP=25 | Frame 62: Weighted PSNR: 33.771 dB | Y: 32.187 | U: 38.430 | V: 38.612 | Bpp: 0.0062
QP=25 | Frame 63: Weighted PSNR: 33.065 dB | Y: 31.351 | U: 38.262 | V: 38.156 | Bpp: 0.0043
QP=25 | Frame 64: Weighted PSNR: 32.589 dB | Y: 30.916 | U: 37.675 | V: 37.542 | Bpp: 0.0055
QP=25 | Frame 65: Weighted PSNR: 34.314 dB | Y: 32.921 | U: 38.288 | V: 38.703 | Bpp: 0.0460
QP=25 | Frame 66: Weighted PSNR: 33.685 dB | Y: 32.221 | U: 38.104 | V: 38.052 | Bpp: 0.0113
QP=25 | Frame 67: Weighted PSNR: 34.355 dB | Y: 32.916 | U: 38.565 | V: 38.780 | Bpp: 0.0237
QP=25 | Frame 68: Weighted PSNR: 33.874 dB | Y: 32.302 | U: 38.713 | V: 38.471 | Bpp: 0.0097
QP=25 | Frame 69: Weighted PSNR: 34.799 dB | Y: 33.314 | U: 39.462 | V: 39.045 | Bpp: 0.0280
QP=25 | Frame 70: Weighted PSNR: 34.090 dB | Y: 32.502 | U: 39.217 | V: 38.492 | Bpp: 0.0089
QP=25 | Frame 71: Weighted PSNR: 34.226 dB | Y: 32.629 | U: 39.268 | V: 38.768 | Bpp: 0.0239
